SUM of funding_total_usd,,status,,,,
country_code,region,acquired,closed,ipo,operating,Grand Total
,,3255246171,10204028642,6213835295,37438718622,57111828730
 Total,,3255246171,10204028642,6213835295,37438718622,57111828730
ALB,Tirana,,,,276744.1287,276744.1287
ALB Total,,,,,276744.1287,276744.1287
ARE,Abu Dhabi,,,,826250000,826250000
ARE,Dubai,32710000,635000,,710624065,743969065
ARE Total,,32710000,635000,,1536874065,1570219065
ARG,,,20000,,40000,60000
ARG,ARG - Other,,,,33356766,33356766
ARG,Buenos Aires,1250000,11538062,28000000,259993615,300781677
ARG,"Cordoba, ARG",143083,,,2353963,2497046
ARG,"Mendoza, ARG",25620000,,,40000,25660000
ARG Total,,27013083,11558062,28000000,295784344,362355489
ARM,ARM - Other,,,,200000,200000
ARM,Yerevan,,,,26617500,26617500
ARM Total,,,,,26817500,26817500
AUS,,,29000,20000000,37074398.97,57103398.97
AUS,Adelaide,,,,55818122.26,55818122.26
AUS,AUS - Other,0,10091900,8530000,138575685.3,157197585.3
AUS,Balmain,,98000,,4600000,4698000
AUS,Brisbane,1400000,1980218.933,,165119515.4,168499734.4
AUS,Burleigh Heads,,,,382106890,382106890
AUS,Camberwell South,,,,25500000,25500000
AUS,Canberra,,,,20918307,20918307
AUS,Eight Mile Plains,,,,1813760,1813760
AUS,Fyshwick,,1850000,,,1850000
AUS,Hobart Town,,25000000,,1300000,26300000
AUS,Melbourne,14200000,42478218,64964701.18,254184430.1,375827349.3
AUS,Mulgrave,,,,80000000,80000000
AUS,Perth,,198232082,16694243,115598972.9,330525297.9
AUS,South Grafton,,,,1800000,1800000
AUS,Sydney,43516004.79,88130139,800303686.8,1189604375,2121554206
AUS,Tasmania,,,,12700000,12700000
AUS,Victoria,,20000,,1030000,1050000
AUS,Waterloo,,,,2714506,2714506
AUS,West End,11240000,,,19615,11259615
AUS Total,,70356004.79,367909557.9,910492631,2490478578,3839236772
AUT,,,,,4139999,4139999
AUT,AUT - Other,214185,10801156,149938635,59662880.63,220616856.6
AUT,Brunn Am Gebirge,,,,1449360,1449360
AUT,Dornbirn,,,,1521189,1521189
AUT,Graz,4890000,353586.5347,,25400621.78,30644208.32
AUT,Innsbruck,,,,19034616,19034616
AUT,Linz,,259989,,1520440,1780429
AUT,Salzburg,,,,386881,386881
AUT,Vienna,72171304,56107339.01,120000000,313977280.8,562255923.8
AUT Total,,77275489,67522070.54,269938635,427093268.2,841829462.7
AZE,AZE - Other,,,,164000,164000
AZE,Baku,,,,210000,210000
AZE Total,,,,,374000,374000
BAH,Bahamas,,,,1200000,1200000
BAH,BHS - Other,,,,8900000,8900000
BAH Total,,,,,10100000,10100000
BEL,,,66230,,11129150,11195380
BEL,Antwerp,7484035,733615,,32751215.97,40968865.97
BEL,BEL - Other,221434158.9,40002320.82,186036236,174216201.4,621688917
BEL,Brussels,261146364.7,15099978,152316269.8,565782773.2,994345385.7
BEL Total,,490064558.5,55902143.82,338352505.8,783879340.5,1668198549
BGD,Dhaka,,,,8441208,8441208
